RUN	STATISTIC	VALUE
074	lanczos_min_converged	0
074	lanczos_max_converged	0
074	time_input	3.01347
074	time_solve	1032.87
074	compression_ratio	0.0999069
075	iterations	40
075	L_final	372.057
075	lanczos_mean	8.56707
075	lanczos_min	6
075	lanczos_max	10
075	lanczos_mean_converged	302.5
075	lanczos_min_converged	292
075	lanczos_max_converged	307
075	time_input	3.17613
075	time_solve	822.329
075	compression_ratio	0.0999069
076	L_final	360.44
076	lanczos_mean	11.0594
076	lanczos_min	7
076	lanczos_max	309
076	lanczos_mean_converged	0
076	lanczos_min_converged	0
076	lanczos_max_converged	0
076	time_input	2.80028
076	time_solve	1008.16
076	compression_ratio	0.0999069
077	L_final	357.794
077	lanczos_mean	11.5012
077	lanczos_min	7
077	lanczos_max	311
077	lanczos_mean_converged	0
077	lanczos_min_converged	0
077	lanczos_max_converged	0
077	time_input	2.74114
077	time_solve	1047.88
077	compression_ratio	0.0999069
078	iterations	81
078	L_final	332.168
078	lanczos_mean	8.17988
078	lanczos_min	6
078	lanczos_max	10
078	lanczos_mean_converged	302.875
078	lanczos_min_converged	297
078	lanczos_max_converged	311
078	time_input	3.17127
078	time_solve	1042.01
078	compression_ratio	0.0999069
079	L_final	354.281
079	lanczos_mean	11.0631
079	lanczos_min	6
079	lanczos_max	312
079	lanczos_mean_converged	0
079	lanczos_min_converged	0
079	lanczos_max_converged	0
079	time_input	3.07635
079	time_solve	1117.29
079	compression_ratio	0.0999069
080	iterations	99
080	L_final	335.436
080	lanczos_mean	8.3975
080	lanczos_min	6
080	lanczos_max	10
080	lanczos_mean_converged	304.375
080	lanczos_min_converged	297
080	lanczos_max_converged	311
080	time_input	2.58244
080	time_solve	1068.59
080	compression_ratio	0.0999069
081	L_final	345.598
081	lanczos_mean	11.1064
081	lanczos_min	6
081	lanczos_max	314
081	lanczos_mean_converged	0
081	lanczos_min_converged	0
081	lanczos_max_converged	0
081	time_input	2.97401
081	time_solve	993.122
081	compression_ratio	0.0999069
082	iterations	48
082	L_final	386.996
082	lanczos_mean	7.90561
082	lanczos_min	7
082	lanczos_max	10
082	lanczos_mean_converged	304.375
082	lanczos_min_converged	298
082	lanczos_max_converged	311
082	time_input	3.29703
082	time_solve	893.091
082	compression_ratio	0.0999069
083	L_final	355.696
083	lanczos_mean	11.2376
083	lanczos_min	6
083	lanczos_max	312
083	lanczos_mean_converged	0
083	lanczos_min_converged	0
