K	M	STATISTIC	VALUE
120	20	lanczos_mean	0
120	20	lanczos_min	0
120	20	lanczos_max	0
120	20	lanczos_mean_converged	0
120	20	lanczos_min_converged	0
120	20	lanczos_max_converged	0
120	20	time_input	10.8905
120	20	time_solve	922.679
120	20	compression_ratio	0.850055
130	10	iterations	89
130	10	L_final	10373.9
130	10	lanczos_mean	0
130	10	lanczos_min	0
130	10	lanczos_max	0
130	10	lanczos_mean_converged	0
130	10	lanczos_min_converged	0
130	10	lanczos_max_converged	0
130	10	time_input	8.97042
130	10	time_solve	967.761
130	10	compression_ratio	0.461936
130	20	iterations	89
130	20	L_final	3304.47
130	20	lanczos_mean	0
130	20	lanczos_min	0
130	20	lanczos_max	0
130	20	lanczos_mean_converged	0
130	20	lanczos_min_converged	0
130	20	lanczos_max_converged	0
130	20	time_input	8.97019
130	20	time_solve	988.174
130	20	compression_ratio	0.920865
140	10	iterations	90
140	10	L_final	9578.17
140	10	lanczos_mean	0
140	10	lanczos_min	0
140	10	lanczos_max	0
140	10	lanczos_mean_converged	0
140	10	lanczos_min_converged	0
140	10	lanczos_max_converged	0
140	10	time_input	10.7453
140	10	time_solve	1047.9
140	10	compression_ratio	0.497444
140	20	iterations	90
140	20	L_final	3051.13
140	20	lanczos_mean	0
140	20	lanczos_min	0
140	20	lanczos_max	0
140	20	lanczos_mean_converged	0
140	20	lanczos_min_converged	0
140	20	lanczos_max_converged	0
140	20	time_input	17.9761
140	20	time_solve	1068.14
140	20	compression_ratio	0.991675
150	10	L_final	8921.12
150	10	lanczos_mean	0
150	10	lanczos_min	0
150	10	lanczos_max	0
150	10	lanczos_mean_converged	0
150	10	lanczos_min_converged	0
150	10	lanczos_max_converged	0
150	10	time_input	17.1426
150	10	time_solve	1239.08
150	10	compression_ratio	0.532952
160	10	L_final	9295.03
160	10	lanczos_mean	0
160	10	lanczos_min	0
160	10	lanczos_max	0
160	10	lanczos_mean_converged	0
160	10	lanczos_min_converged	0
160	10	lanczos_max_converged	0
160	10	time_input	7.92171
160	10	time_solve	1292.06
160	10	compression_ratio	0.56846
170	10	L_final	10042.2
170	10	lanczos_mean	0
170	10	lanczos_min	0
170	10	lanczos_max	0
170	10	lanczos_mean_converged	0
170	10	lanczos_min_converged	0
170	10	lanczos_max_converged	0
170	10	time_input	12.4454
170	10	time_solve	1368.46
170	10	compression_ratio	0.603968
180	10	L_final	7937.35
180	10	lanczos_mean	0
180	10	lanczos_min	0
180	10	lanczos_max	0
180	10	lanczos_mean_converged	0
180	10	lanczos_min_converged	0
180	10	lanczos_max_converged	0
180	10	time_input	7.97326
180	10	time_solve	1441.81
180	10	compression_ratio	0.639476
190	10	iterations	76
190	10	L_final	7759.17
190	10	lanczos_mean	0
190	10	lanczos_min	0
190	10	lanczos_max	0
190	10	lanczos_mean_converged	0
190	10	lanczos_min_converged	0
190	10	lanczos_max_converged	0
190	10	time_input	16.4962
190	10	time_solve	1177.52
190	10	compression_ratio	0.674984
200	10	iterations	92
200	10	L_final	7591.28
200	10	lanczos_mean	0
200	10	lanczos_min	0
200	10	lanczos_max	0
200	10	lanczos_mean_converged	0
200	10	lanczos_min_converged	0
200	10	lanczos_max_converged	0
200	10	time_input	17.356
200	10	time_solve	1478.11
200	10	compression_ratio	0.710492
