VARIABLE	ENSEMBLE	RMSZ	EXCLUDED
CCN3	g16.043.cam.h0.0001-01-01-00000.nc	0.890632	0
CCN3	g16.044.cam.h0.0001-01-01-00000.nc	0.940421	0
CCN3	g16.045.cam.h0.0001-01-01-00000.nc	0.980826	0
CCN3	g16.046.cam.h0.0001-01-01-00000.nc	0.891839	0
CCN3	g16.047.cam.h0.0001-01-01-00000.nc	0.931574	0
CCN3	g16.048.cam.h0.0001-01-01-00000.nc	1.41731	0
CCN3	g16.049.cam.h0.0001-01-01-00000.nc	0.964112	0
CCN3	g16.050.cam.h0.0001-01-01-00000.nc	1.16604	0
CCN3	g16.051.cam.h0.0001-01-01-00000.nc	0.959803	0
CCN3	g16.052.cam.h0.0001-01-01-00000.nc	1.4032	0
CCN3	g16.053.cam.h0.0001-01-01-00000.nc	1.01117	0
CCN3	g16.054.cam.h0.0001-01-01-00000.nc	0.960387	0
CCN3	g16.055.cam.h0.0001-01-01-00000.nc	1.05447	0
CCN3	g16.056.cam.h0.0001-01-01-00000.nc	1.13453	0
CCN3	g16.057.cam.h0.0001-01-01-00000.nc	0.89631	0
CCN3	g16.058.cam.h0.0001-01-01-00000.nc	0.991553	0
CCN3	g16.059.cam.h0.0001-01-01-00000.nc	1.24995	0
CCN3	g16.060.cam.h0.0001-01-01-00000.nc	0.949816	0
CCN3	g16.061.cam.h0.0001-01-01-00000.nc	1.60078	0
CCN3	g16.062.cam.h0.0001-01-01-00000.nc	1.03516	0
CCN3	g16.063.cam.h0.0001-01-01-00000.nc	0.961719	0
CCN3	g16.064.cam.h0.0001-01-01-00000.nc	0.96639	0
CCN3	g16.065.cam.h0.0001-01-01-00000.nc	0.971824	0
CCN3	g16.066.cam.h0.0001-01-01-00000.nc	0.954774	0
CCN3	g16.067.cam.h0.0001-01-01-00000.nc	0.93261	0
CCN3	g16.068.cam.h0.0001-01-01-00000.nc	1.00031	0
CCN3	g16.069.cam.h0.0001-01-01-00000.nc	1.18094	0
CCN3	g16.070.cam.h0.0001-01-01-00000.nc	1.00106	0
CCN3	g16.071.cam.h0.0001-01-01-00000.nc	0.893353	0
CCN3	g16.072.cam.h0.0001-01-01-00000.nc	0.900334	0
CCN3	g16.073.cam.h0.0001-01-01-00000.nc	1.07923	0
CCN3	g16.074.cam.h0.0001-01-01-00000.nc	1.02409	0
CCN3	g16.075.cam.h0.0001-01-01-00000.nc	0.895888	0
CCN3	g16.076.cam.h0.0001-01-01-00000.nc	1.11581	0
CCN3	g16.077.cam.h0.0001-01-01-00000.nc	0.8666	0
CCN3	g16.078.cam.h0.0001-01-01-00000.nc	0.976904	0
CCN3	g16.079.cam.h0.0001-01-01-00000.nc	1.00631	0
CCN3	g16.080.cam.h0.0001-01-01-00000.nc	0.984492	0
CCN3	g16.081.cam.h0.0001-01-01-00000.nc	0.922096	0
CCN3	g16.082.cam.h0.0001-01-01-00000.nc	0.97228	0
CCN3	g16.083.cam.h0.0001-01-01-00000.nc	0.968823	0
CCN3	g16.084.cam.h0.0001-01-01-00000.nc	0.947641	0
CCN3	g16.085.cam.h0.0001-01-01-00000.nc	0.91022	0
CCN3	g16.086.cam.h0.0001-01-01-00000.nc	0.97	0
CCN3	g16.087.cam.h0.0001-01-01-00000.nc	0.930444	0
CCN3	g16.088.cam.h0.0001-01-01-00000.nc	1.02984	0
CCN3	g16.089.cam.h0.0001-01-01-00000.nc	0.94552	0
